"MUNID","CODEID","SEGMENT","TYPE","GENERIQUE","LIAISON","SPECIFIQUE","DIRECTION","NOM_TOPO","COTE","ORIENTATIO","DIREC_UNIQ","CIV_GAU_DE","CIV_GAU_A","CIV_DRT_DE","CIV_DRT_A","LIMITE_VIT","HIERARCHI","ENTITEID","GEOM"
"81017","12458","","Standard","Rue","de la","Terrasse-Eardley","","Rue de la Terrasse-Eardley","","","Non","86","96","87","97","40","Rue locale","{339A5CEA-81E9-4415-AB5B-147ECAB6B00F}","LINESTRING (-75.85924 45.407147,-75.859212 45.407183,-75.85919162059304 45.40721660883901,-75.85917261541734 45.4072506181008,-75.859155 45.407285,-75.85912870993386 45.40734288512804,-75.85910635976467 45.407401596020236,-75.859088 45.407461,-75.85908183843932 45.40752823897227,-75.85907983717566 45.40759561484921,-75.859082 45.407663)"
"81017","13071","","Bretelle","Avenue","","Lépine","","Avenue Lépine","","","Oui","0","0","0","0","70","Collectrice principale","{0E66FF78-C318-4CC4-85E1-2C290B8C5636}","LINESTRING (-75.3828182634891 45.57737144876441)"
"81017","13076","","Standard","Avenue","","Lépine","","Avenue Lépine","","","Oui","0","0","0","0","60","Collectrice principale","{AB321050-AF71-4C77-BB33-EA72F2B09D9B}","LINESTRING (-75.382828 45.577181,-75.383031 45.577149)"
"81017","13371","","Standard","Rue","","Maclaren","Est","Rue Maclaren Est","","","Non","700","720","705","721","40","Collectrice principale","{620C7308-69C6-4896-9917-523563452D81}","LINESTRING (-75.400402 45.581961,-75.400316 45.581417,-75.4003080521735 45.58137745820026,-75.40030171711058 45.581337780700935,-75.400297 45.581298)"
"81017","13369","","Standard","Rue","","William-Kelly","","Rue William-Kelly","","","Non","0","0","0","0","40","Rue locale","{37621149-598E-42D1-B253-E4FDBFF5F815}","LINESTRING (-75.400402 45.581961,-75.401403 45.58189)"
"81017","12503","","Standard","Chemin","","Saint-Thomas","","Chemin Saint-Thomas","","","Non","150","158","151","151","50","Collectrice principale","{8EB7772B-22F3-4E22-84E7-30F6C317E152}","LINESTRING (-75.630443 45.52905,-75.631757 45.529312)"
"81017","1296","","Cul-de-sac circulaire","Rue","de","Noranda","","Rue de Noranda","","","Non","3","19","12","20","40","Rue locale","{9DFF932D-6D01-45B7-B2E8-CFCCA4E81BC9}","LINESTRING (-75.630443 45.52905,-75.630673 45.530337,-75.630514 45.530474)"
"81017","5995","","Standard","Chemin","d'","Aylmer","","Chemin d'Aylmer","","","Oui","0","0","358","362","50","Artère principale","{BD491F92-61E5-485E-AEBA-9EB2D7BF2A28}","LINESTRING (-75.824384 45.396274,-75.823218 45.396365)"
"81017","8074","","Jointure","Chemin","","Fraser","","Chemin Fraser","","","Non","0","0","0","0","50","Collectrice principale","{A49AAC09-87F8-4EFD-B7DF-FB664FE682E7}","LINESTRING (-75.824384 45.396274,-75.824394 45.396338)"
"81017","6194","","Standard","Chemin","de la","Savane","","Chemin de la Savane","","","Oui","0","0","0","0","50","Artère secondaire","{79BA166E-0FA1-4DBC-A669-E64E9B2D9EFA}","LINESTRING (-75.708162 45.473948,-75.707901 45.473766,-75.70779376278537 45.473701764239074,-75.70767841765108 45.473644927506236,-75.707556 45.473596)"
"81017","6569","","Jointure","Boulevard","","Maloney","Ouest","Boulevard Maloney Ouest","","","Oui","0","0","0","0","70","Artère principale","{8F0FA4BA-1F54-4095-AE68-C62AAE4B7813}","LINESTRING (-75.708162 45.473948,-75.708075 45.474008)"
"81017","6177","","Standard","Rue","du","Muscatel","","Rue du Muscatel","","","Non","70","70","77","79","40","Rue locale","{6B0576B2-949E-45B0-B4F6-53F974D12A07}","LINESTRING (-75.835256 45.39099,-75.835781 45.391423)"
"81017","1780","","Standard","Rue","de la","Châteauguay","","Rue de la Châteauguay","","","Non","153","165","154","166","40","Collectrice secondaire","{1A760995-5E22-428F-A91F-33BF4E94A248}","LINESTRING (-75.583862 45.497872,-75.583861 45.497872,-75.582785 45.497475)"
"81017","6755","","Cul-de-sac circulaire","Rue","de","L'Assomption","","Rue de L'Assomption","","","Non","75","83","76","88","40","Rue locale","{1D3EFE31-76D7-46CC-9B28-40B58EDAE4C4}","LINESTRING (-75.583862 45.497872,-75.58361 45.498219,-75.58357658066389 45.49823778647102,-75.58353789851935 45.498250680519206,-75.583496 45.498257,-75.58337902575475 45.498370040876495,-75.58354667598776 45.498446552392224,-75.583645 45.498325,-75.58361890257784 45.498292499861556,-75.5836075657053 45.498256084452755,-75.583612 45.498219)"
"81017","7560","","Standard","Rue","","Binet","","Rue Binet","","","Non","71","73","70","82","40","Rue locale","{71D5C8D1-D017-4544-BDB4-F36268AC5824}","LINESTRING (-75.737691 45.435363,-75.738621 45.435362,-75.73867053340226 45.43535311215853,-75.7387049435063 45.435326556534754,-75.738713 45.435291,-75.738717 45.435194)"
"81017","12269","","Standard","Boulevard","","Wilfrid-Lavigne","","Boulevard Wilfrid-Lavigne","","","Non","1029","1029","0","0","40","Collectrice principale","{4ED50358-6B0B-4715-A603-F9A9FB288F8E}","LINESTRING (-75.849695 45.422792,-75.850059 45.422729)"
"81017","2426","","Standard","Rue","","East","","Rue East","","","Non","269","277","260","272","40","Collectrice secondaire","{74A4089D-529C-4247-A1DD-3C6FA28E6252}","LINESTRING (-75.64742 45.48674,-75.647513 45.487456)"
"81017","2438","","Standard","Rue","","Saint-James","","Rue Saint-James","","","Non","259","299","262","300","40","Rue locale","{B4386373-6B2F-4811-B1E0-10A71F8E0CE1}","LINESTRING (-75.64742 45.48674,-75.646684 45.486769,-75.64636473972423 45.48678377480283,-75.64604469253035 45.48678510972335,-75.645725 45.486773,-75.64541524953125 45.486736941445315,-75.64511084596631 45.486682476263006,-75.644814 45.48661,-75.644557 45.486536)"
"81017","7352","","Standard","Rue","","Sainte-Rosalie","","Rue Sainte-Rosalie","","","Non","12","26","17","23","40","Rue locale","{888A0D12-9149-4545-92DE-3E07D8553F15}","LINESTRING (-75.690512 45.472355,-75.690323 45.472413,-75.689965 45.472515,-75.68968265298192 45.47258613304719,-75.68939793189587 45.47265247906138,-75.689111 45.472714,-75.68901210253445 45.472733426061474,-75.68891163750683 45.472748445749986,-75.68881 45.472759,-75.688474 45.472784)"
"81017","3690","","Standard","Autoroute","de l'","Outaouais","","Autoroute de l'Outaouais","","","Oui","0","0","0","0","70","Autoroute","{3B50D720-0060-4B0B-9172-D90099852520}","LINESTRING (-75.728252 45.430373,-75.727955 45.430852,-75.72792324796742 45.43092099053167,-75.72789655799819 45.43099105170089,-75.727875 45.431062,-75.72786267263317 45.43111306439316,-75.72785300167325 45.43116442052505,-75.727846 45.431216,-75.72784380359796 45.43123897815702,-75.72784213678521 45.43126198017309,-75.727841 45.431285,-75.72785294015294 45.431486095947506,-75.72790529364816 45.431684099551234,-75.727997 45.431875,-75.728065 45.432005,-75.728072 45.432017)"
"81017","4394","","Standard","Rue","","Corbeil","","Rue Corbeil","","","Non","0","0","0","0","40","Collectrice secondaire","{04AA679A-46D0-421A-8C6C-395FA75A8F87}","LINESTRING (-75.747774 45.446602,-75.747827 45.447056)"
"81017","3798","","Jointure","Boulevard","","Lionel-Émond","","Boulevard Lionel-Émond","","","Oui","0","0","0","0","40","Collectrice secondaire","{0C772166-93EA-43F2-BCA8-3721328FED02}","LINESTRING (-75.747774 45.446602,-75.747682 45.446418)"
"81017","7497","","Standard","Boulevard","","Saint-Raymond","","Boulevard Saint-Raymond","","","Oui","0","0","144","162","50","Artère principale","{D713143D-A40D-4203-82FF-CD5A4AB3A3F3}","LINESTRING (-75.747774 45.446602,-75.751063 45.446387)"
